"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"10100","Aberdeen, SD","122","104","18",".",".",".","88","55","29",".",".",".",".","102","20"
"10140","Aberdeen, WA","366","331","35",".",".",".","83","50","29",".",".",".",".","366","."
"10260","Adjuntas, PR","112","111","1",".",".",".","74","31","18",".",".",".",".","112","."
"10300","Adrian, MI","86","53","33",".",".",".","85","70","39.5",".",".","1",".","85","."
"10420","Akron, OH","366","257","98","11",".",".","140","70","40","4",".","158","109","95","."
"10500","Albany, GA","261","105","154","2",".",".","121","72","53",".",".",".",".","256","5"
"10540","Albany-Lebanon, OR","366","230","131","5",".",".","122","70","34",".",".",".",".","366","."
"10580","Albany-Schenectady-Troy, NY","366","251","106","9",".",".","132","69","42",".",".","156",".","210","."
"10740","Albuquerque, NM","366","131","232","3",".",".","143","75","55",".","13","134",".","114","105"
"10780","Alexandria, LA","116","92","24",".",".",".","72","56","36",".",".",".",".","116","."
"10880","Allegan, MI","115","81","33","1",".",".","106","64","35",".",".",".",".","115","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","366","190","161","15",".",".","147","80","49",".","15","92","36","214","9"
"11020","Altoona, PA","365","307","56","2",".",".","116","58","36",".","81","183","89",".","12"
"11100","Amarillo, TX","364","338","26",".",".",".","88","46","25",".",".",".",".","364","."
"11140","Americus, GA","237","205","32",".",".",".","90","61","36",".",".","237",".",".","."
"11180","Ames, IA","215","212","3",".",".",".","54","44","35",".",".","215",".",".","."
"11260","Anchorage, AK","312","276","35","1",".",".","140","53","20","103",".",".",".","103","106"
"11300","Anderson, IN","361","210","151",".",".",".","98","69","46",".",".","72",".","289","."
"11340","Anderson, SC","195","172","22","1",".",".","114","54","34",".",".","195",".",".","."
"11460","Ann Arbor, MI","126","76","49","1",".",".","140","73","40",".",".",".",".","126","."
"11540","Appleton, WI","258","203","54",".","1",".","152","60","38",".",".","181",".","77","."
"11620","Ardmore, OK","276","227","48","1",".",".","104","61","42",".",".","276",".",".","."
"11700","Asheville, NC","364","200","156","8",".",".","135","74","48",".",".","111",".","253","."
"11780","Ashtabula, OH","366","322","41","3",".",".","114","54","31",".",".","214","152",".","."
"11900","Athens, OH","366","309","54","2","1",".","189","57","37",".","5","288","45","28","."
